exercise,type,body_region,equipment,primary_muscles_worked,video_link,exercise_description,s3_url
Doorway Pec Stretch,Stretch,Upper Extremity,Doorway,"Pecs, Anterior Deltoids",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Doorway%20Pec%20Stretch.mp4,"Doorway Pec Stretch begins by standing in between the vertical bars of a squat rack, or in between a doorway, gripping hands so palms face forward, and keeping a bend in the elbows. Here, you can play with placing the hands at varying heights, with movement in each variation having you lean forward through the bars and back to start.",https://d351vh8f4f3ihs.cloudfront.net/Doorway_Pec_Stretch.mp4
Cervical Extension,Range of Motion,Cervical,None,"Levator Scapulae, Sternocleidomastoid",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Seated%20Cervical%20Extension%20Assessment%20.mp4,"Begin in a seated position with knees bent, feet on the floor, and spine upright, the crown of the head tall. Begin to lift the chin up towards the ceiling, tilting the head back, lifting and extending up to your comfortable end range position. Then, with control, draw the chin back down to come back to starting position.",https://d351vh8f4f3ihs.cloudfront.net/Seated_Cervical_Extension_Assessment_.mp4
Cervical Flexion,Range of Motion,Cervical,None,"Levator Scapulae, Sternocleidomastoid",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Seated%20Cervical%20Flexion%20Assessment%20.mp4,"Begin in a seated position with knees bent, feet on the floor, and spine upright, the crown of the head tall. Begin to tilt the chin down toward the chest while keeping the rest of the body stationary, drawing the chin down to your comfortable end-range position. Then, with control, lift the chin and head back up to starting position.",https://d351vh8f4f3ihs.cloudfront.net/Seated_Cervical_Flexion_Assessment_.mp4
Cervical Rotation,Range of Motion,Cervical,None,"Levator Scapulae, Sternocleidomastoid",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Seated%20Cervical%20Rotation%20Assessment%20.mp4,"Begin in a seated position with knees bent, feet on the floor, and spine upright, the crown of the head tall. Begin to turn your head to one side, keeping the crown of the head tall and turning your chin over one shoulder to your comfortable end-range position. Then, rotate the head back to center, and turn your head to the second side, again to your comfortable end-range position, then turn the head back to starting position.",https://d351vh8f4f3ihs.cloudfront.net/Seated_Cervical_Rotation_Assessment_.mp4
Single Arm Dumbbell/Soup Can Row,Strengthening,Upper Extremity,Dumbbell/Soup Can,"Latissimus Dorsi, Biceps, Scapulars",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Single%20Arm%20Dumbbell%20Row.mp4,"Single Arm Dumbbell/Soup Can Row begins parallel to the bench, with the inside knee and inside hand supported by the bench, opposite leg in contact with the ground for counter balance and opposite hand hanging directly underneath the shoulder. The movement initiates by reaching for the Dumbbell/Soup Can, retracting the shoulder blades and creating a flat back, then rowing the Dumbbell/Soup Can to the body, with the elbow high and tight to the side, then returning back into the extended position under control.",https://d351vh8f4f3ihs.cloudfront.net/Single_Arm_Dumbbell_Row.mp4
Prone T,Strengthening,Upper Extremity,Bench,"Scapulas, Latissimus Dorsi, Trapezius",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Prone%20T.mp4,"Begin by lying face down on a flat bench, with the body in one straight line, arms extended out to the sides, hands resting on the floor, thumbs facing up. To initiate the movement, squeeze through the shoulder blades and laterally lift the arms up, bringing the arms in line with the shoulders, or slightly above the plane of the body if mobility allows. Then, with control, lower the arms back down to the starting position.",https://d351vh8f4f3ihs.cloudfront.net/Prone_T.mp4
Seated Scapular Wall Slides,Stabilization,Upper Extremity,None,"Trapezius, Anterior Deltoids, Scapulas",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Seated%20Scapular%20Wall%20Slides.mp4,"Seated Scapular None Slide begins in a seated L-shape position, with legs extended forward, legs and feet together, your back against a None, and arms in a goalpost shape against the None, with elbows making contact with the None, and backs of the wrist making contact with the None (if you have the mobility). To initiate the movement, keep the tension of the arms in the None as you slowly slide the arms up to an overhead extended position. Then, with control, slide the elbows, arms, and wrists back down to the starting position.",https://d351vh8f4f3ihs.cloudfront.net/Seated_Scapular_Wall_Slides.mp4
Bench Plank,Stabilization,Core,Bench,Rectus Abdominis,https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Bench%20Plank.mp4,"Bench Plank begins with placing the forearms on top of a flat bench, with the hands interlaced, and the body in one neutral line, from the top of the head to the heels, with toes digging into the floor. Engage the core by drawing the navel in towards the spine and find a light squeeze of the glutes and inner thighs.",https://d351vh8f4f3ihs.cloudfront.net/Bench_Plank.mp4
Prone Y on Bench,Strengthening,Upper Extremity,Bench,"Anterior Deltoids, Trapezius, Scapulas",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Prone%20Y%20on%20Bench.mp4,"Prone Y on Bench begins lying prone on a flat bench, with the body in one straight line, arms extended out in front of you, and arms in a Y-shape so slightly wider than shoulder-width apart, arms down below the plane of the body and just hovering away from the floor, with hands gripping weight plates, thumbs facing up. To initiate the movement, begin to raise the arms up away from the floor to come up in line with the shoulders. Then, with control, lower the arms back down.",https://d351vh8f4f3ihs.cloudfront.net/Prone_Y_on_Bench.mp4
Forearm Plank,Stabilization,Core,None,"Rectus Abdominis, Hip Flexors",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Forearm%20Plank.mp4,"Forearm Headstand Against None begins in a quadruped position, with forearms down, elbows beneath the shoulders, and a None in front of you. To come into position, lift the knees, walk the feet in towards the chest, then hop or press the feet away from the floor to bring hips over the shoulders, extend the legs and allow the heels to land on the None in front of you.",https://d351vh8f4f3ihs.cloudfront.net/Forearm_Plank.mp4
Bench Scapular Push up,Strengthening,Upper Extremity,Bench,"Pectoralis, Anterior Deltoids",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Bench%20Push%20Up%20Plus.mp4,"Bench Scapular Push-Up begins in a high plank position with hands on a flat bench. Line the wrists up beneath the shoulders and keep the arms straight by wrapping the triceps back. Keep the feet about hip-width apart, legs straight, and spine neutral. Brace the core by drawing the navel in towards the spine and squeezing through the glutes and inner thighs. Keep the arms straight throughout the movement. To initiate the movement, allow the chest to sink down below the shoulders, and allow the shoulder blades to naturally draw together. Then, isometrically press through hands to round through the upper back and separate the shoulder blades, while keeping the core braced and spine neutral.",https://d351vh8f4f3ihs.cloudfront.net/Bench_Push_Up_Plus.mp4
